"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3156","if you have acne blackheads or whiteheads you should try a microdermabrasion",FALSE,0,NA,2017-11-07 08:14:48,FALSE,NA,"927811560294178816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nursyazwani_ns",124,TRUE,FALSE,NA,NA
"3157","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 08:14:27,FALSE,NA,"927811470087393280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoyHonorata",118,TRUE,FALSE,NA,NA
"3158","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 08:14:21,FALSE,NA,"927811448801198080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oceanlesbian",4263,TRUE,FALSE,NA,NA
"3159","dayof no fap november muscles amp neurones regenerating at a staggering rate no more acne women on the street are b",FALSE,0,NA,2017-11-07 08:14:20,FALSE,NA,"927811442929209346",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Expatriot32",202,TRUE,FALSE,NA,NA
"3160","drinking greentea every day can help reduce stress and keep the acne away rtif you love green tea",FALSE,0,NA,2017-11-07 08:14:11,FALSE,NA,"927811405385908225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","03ganesh",904,TRUE,FALSE,NA,NA
"3161","drinking greentea every day can help reduce stress and keep the acne away rtif you love green tea",FALSE,0,NA,2017-11-07 08:14:07,FALSE,NA,"927811387409154048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","H4NIEYEYE",904,TRUE,FALSE,NA,NA
"3162","when i use the auto acne corrector it fixes my eye so i guess my eye looks like a pimple",FALSE,0,NA,2017-11-07 08:13:17,FALSE,NA,"927811179824799744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","turnupwithtiff",0,FALSE,FALSE,NA,NA
"3163","i have been using the product for some time now and my acne is none existing now and i love itacnesolution via",FALSE,0,NA,2017-11-07 08:13:13,TRUE,NA,"927811161176854528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Grass994Sigafus",0,FALSE,FALSE,NA,NA
"3164","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 08:12:25,FALSE,NA,"927810961267986432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LoloeDee",118,TRUE,FALSE,NA,NA
"3165","i read smt about how ur not supposed to use acne meds until after the pimple pops on its own and it actually makes sense",FALSE,1,NA,2017-11-07 08:12:15,FALSE,NA,"927810918829850629",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luongemi_ly",0,FALSE,FALSE,NA,NA
"3166","flaxseed green tea amp oatmeal soapacne rosacea eczema psoriasis rednessblotchy skinhttp",FALSE,0,NA,2017-11-07 08:11:45,FALSE,NA,"927810790744383488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MatchaDrinkers",1,TRUE,FALSE,NA,NA
"3167","i️ use this pretty much everyday followed by micelles water really helps",FALSE,2,"kreativesoul_",2017-11-07 08:11:19,TRUE,"927799090657849344","927810684498382849","707551872","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kreativesoul_",0,FALSE,FALSE,NA,NA
"3168","where can i buy that ymp acne patches things coz my skin look like shit rn

spm",FALSE,0,NA,2017-11-07 08:10:47,FALSE,NA,"927810549798146049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blackchocownies",4,TRUE,FALSE,NA,NA
"3169","good morning everyone ️ check out this wonderfully informative thread on treating cystic acne skincare acne healthyski",FALSE,0,NA,2017-11-07 08:10:39,FALSE,NA,"927810514700439554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Naisaid",1,TRUE,FALSE,NA,NA
"3170","flaxseed green tea amp oatmeal soapacne rosacea eczema psoriasis rednessblotchy skin",FALSE,0,NA,2017-11-07 08:10:04,FALSE,NA,"927810369741090816",NA,"<a href=""https://www.sweetertweet.com"" rel=""nofollow"">SweeterTweet</a>","TeaHerbMilkSoap",1,FALSE,FALSE,NA,NA
"3171","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 08:09:31,FALSE,NA,"927810231152738304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yaya_Jo",118,TRUE,FALSE,NA,NA
"3172","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 08:09:13,FALSE,NA,"927810155231641600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoemikellyLugo",4263,TRUE,FALSE,NA,NA
"3173","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 08:09:11,FALSE,NA,"927810148126490625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anisa_fr_",118,TRUE,FALSE,NA,NA
"3174","not using a moisturizer during acne treatment causes excessive dryness and an increase in oil production",FALSE,0,NA,2017-11-07 08:08:57,FALSE,NA,"927810086243880961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iam_Naledi",262,TRUE,FALSE,NA,NA
"3175","am i the only one who gags when you see acne absolutely caked in makeup like its better on its own tbh",FALSE,2,NA,2017-11-07 08:08:40,FALSE,NA,"927810015162806272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","slaystr",0,FALSE,FALSE,NA,NA
"3176","products for adult acne scissors lesbian sex",FALSE,0,NA,2017-11-07 08:08:34,FALSE,NA,"927809993021251584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lioterbabag1984",0,FALSE,FALSE,NA,NA
"3177","i started using bio oil for my acne scars and im literally praying that it will work amp not make me break out more",FALSE,3,NA,2017-11-07 08:08:32,FALSE,NA,"927809981662904320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","irresistaekook",0,FALSE,FALSE,NA,NA
"3178","can my acne go away now that hsc is over thankqqq",FALSE,4,NA,2017-11-07 08:08:15,FALSE,NA,"927809910968000513",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","itssisabella_",1,FALSE,FALSE,NA,NA
"3179","i had good success with thismy favorites were the moisturizer and toneroverall good results skincareacne via",FALSE,0,NA,2017-11-07 08:08:07,FALSE,NA,"927809877233360897",NA,"<a href=""http://www.essentialsyou.com"" rel=""nofollow"">EssentialsYouBot</a>","PureArgan",1,TRUE,FALSE,NA,NA
"3180","you never realize how bad having acne makes you feel until you have acne",FALSE,0,NA,2017-11-07 08:07:09,FALSE,NA,"927809635288891392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cieloxvil",1,TRUE,FALSE,NA,NA
"3181","why is acne a thing like its not like i dont have enough things to worry about",FALSE,1,NA,2017-11-07 08:06:57,FALSE,NA,"927809585313873920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kassidyfry98",0,FALSE,FALSE,NA,NA
"3182","problems with back acne heres what to do",FALSE,0,NA,2017-11-07 08:06:55,FALSE,NA,"927809577894273024",NA,"<a href=""http://www.leavingworkbehind.com"" rel=""nofollow"">Evergreen Post Tweeter</a>","loveforyourskin",0,FALSE,FALSE,NA,NA
"3183","i had good success with thismy favorites were the moisturizer and toneroverall good results skincareacne via",FALSE,0,NA,2017-11-07 08:06:51,TRUE,NA,"927809560827645952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TutinoAyesha",1,FALSE,FALSE,NA,NA
